"";"data.indexRL";"data.indexS";"data.indexA";"data.female";"chechnya"
"480";0,1;0,5;0,3;1;1
"481";0;1;0;0;1
"482";0,2;0,1;0,7;1;1
"483";0,1;0,6;0,1;1;1
"484";0,1;0,7;0,1;0;1
"485";0,2;0,7;0,1;1;1
"486";0,4;0,4;0,2;1;1
"487";0,4;0,3;0,1;0;1
"488";0;0,6;0,4;1;1
"489";0,5;0,2;0,3;0;1
"490";0,4;0,3;0,3;1;1
"491";0,2;0,2;0,5;0;1
"492";0,4;0;0,6;1;1
"493";0,3;0,1;0,5;0;1
"494";0,4;0,1;0,3;1;1
"495";0,3;0,1;0,4;0;1
"496";0,2;0,4;0,2;1;1
"497";0,4;0,5;0,1;0;1
"498";0;0,9;0,1;1;1
"499";0,3;0,4;0,1;1;1
"500";0,4;0,1;0,3;1;1
"501";0,3;0,3;0,4;0;1
"502";0,2;0,5;0,3;1;1
"503";0,4;0,4;0,2;0;1
"504";0;0,8;0,2;0;1
"505";0,2;0,4;0,4;0;1
"506";0,5;0,2;0,3;1;1
"507";0,4;0,3;0,2;0;1
"508";0,1;0,7;0,1;0;1
"509";0;0,1;0,8;0;1
"510";0,6;0,4;0;0;1
"511";0,6;0,1;0;1;1
"512";0,5;0,4;0,1;1;1
"513";0,8;0,2;0;1;1
"514";0,9;0;0,1;1;1
"515";0,4;0,5;0;1;1
"516";0,7;0,2;0,1;1;1
"517";0,9;0;0,1;1;1
"518";0,3;0,4;0;0;1
"519";0,3;0,6;0,1;1;1
"520";0,3;0,5;0,2;0;1
"521";0,2;0,3;0,4;0;1
"522";0,1;0,7;0,1;1;1
"523";0;0,6;0,4;1;1
"524";0,5;0,2;0,3;0;1
"525";0,5;0,3;0,2;0;1
"526";0;0;1;0;1
"527";0,1;0,3;0,3;1;1
"528";0,5;0,4;0,1;0;1
"529";0,4;0,4;0,1;0;1
"530";0,3;0,4;0,1;1;1
"531";0,4;0,2;0,2;1;1
"532";0,1;0,4;0;1;1
"533";0,6;0,2;0,1;0;1
"534";0,1;0,5;0,3;1;1
"535";0,5;0,3;0,1;0;1
"536";0,4;0,3;0,2;0;1
"537";0,3;0,5;0,1;1;1
"538";0,5;0,3;0,1;0;1
"539";0;0,5;0,2;1;1
"540";0,4;0,1;0,2;1;1
"541";0,2;0,7;0;1;1
"542";0,3;0,2;0,5;1;1
"543";0;1;0;0;1
"544";0;1;0;1;1
"545";0,3;0,6;0,1;0;1
"546";0,6;0,1;0,3;1;1
"547";0,3;0,4;0,2;1;1
"548";0,4;0,2;0,1;1;1
"549";0,1;0,4;0,2;0;1
"550";0,5;0,2;0,1;0;1
"551";0,5;0,2;0,1;0;1
"552";1;0;0;1;1
"553";1;0;0;0;1
"554";0,3;0,7;0;1;1
"555";0,2;0;0,6;0;1
"556";0,1;0;0,8;0;1
"557";0,1;0;0,7;0;1
"558";0;0,8;0,2;1;1
"559";0,2;0;0,4;0;1
"560";0,9;0;0,1;1;1
"561";0,7;0,1;0,2;1;1
"562";0,4;0,2;0,4;0;1
"563";0,4;0,3;0,2;1;1
"564";0,3;0,3;0,3;0;1
"565";0,5;0,2;0,2;0;1
"566";0,3;0,2;0,4;0;1
"567";0,1;0,8;0,1;1;1
"568";0,4;0,3;0,2;1;1
"569";0,7;0,3;0;1;1
"570";0,5;0,2;0,3;0;1
"571";0,2;0,2;0,3;1;1
"572";0,6;0,1;0,1;1;1
"573";0,5;0,4;0,1;1;1
"574";0,3;0;0,7;1;1
"575";0,2;0,7;0,1;0;1
"576";0;1;0;1;1
"577";0,4;0,3;0,1;1;1
"578";0;1;0;0;1
"579";0,6;0,1;0,1;0;1
"580";0,2;0,3;0,5;1;1
"581";0,6;0,2;0,1;1;1
"582";0,4;0,5;0,1;0;1
"583";0,2;0,4;0,4;1;1
"584";0,2;0,3;0,3;0;1
"585";0,1;0,4;0,4;0;1
"586";0,2;0,2;0,5;1;1
"587";0,4;0,2;0,2;1;1
"588";0,6;0,3;0,1;1;1
"589";0,2;0,5;0;0;1
"590";0,2;0,2;0,5;0;1
"591";0,1;0;0,8;0;1
"592";0;1;0;1;1
"593";0,1;0,6;0;0;1
"594";0,1;0,4;0,1;0;1
"595";0,1;0,7;0;0;1
"596";0;0;0,8;0;1
"597";0,5;0,1;0,4;1;1
"598";0,6;0,3;0,1;0;1
"599";0,3;0,6;0,1;1;1
"600";0,5;0,2;0,2;1;1
"601";0,3;0,7;0;0;1
"602";0,3;0,6;0,1;1;1
"603";0,2;0,7;0,1;1;1
"604";0,4;0,3;0,3;1;1
"605";0,3;0,5;0,2;1;1
"606";0;0,6;0,1;0;1
"607";0,5;0,4;0,1;1;1
"608";0,8;0;0,1;1;1
"609";0,4;0,4;0,2;0;1
"610";0,3;0,2;0,1;0;1
"611";0,5;0,3;0,2;1;1
"612";0,4;0,3;0,2;1;1
"613";0,5;0,4;0,1;0;1
"614";0,5;0,2;0,3;0;1
"615";0,6;0,1;0,1;1;1
"616";0,4;0,2;0,3;1;1
"617";0,3;0,2;0,1;1;1
"618";0,4;0,3;0,1;0;1
"619";0,2;0,4;0;1;1
"620";0,4;0,1;0,1;0;1
"621";0,2;0,4;0,1;0;1
"622";0,4;0,3;0,1;1;1
"623";0,1;0,5;0,1;1;1
"624";0,2;0,8;0;0;1
"625";0,3;0,1;0,4;0;1
"626";0,3;0,7;0;0;1
"627";0,1;0,7;0,1;0;1
"628";0,5;0,2;0,3;1;1
"629";0,2;0,2;0,5;1;1
"630";0,7;0;0,2;0;1
"631";0,4;0;0,6;0;1
"632";0,3;0,3;0,3;0;1
"633";0,4;0,1;0,4;0;1
"634";0,2;0,1;0,5;1;1
"635";0;0,1;0;1;1
"636";0,4;0,1;0,3;1;1
"637";0,8;0,1;0;0;1
"638";0,6;0,4;0;1;1
"639";0,1;0,9;0;0;1
"640";0,5;0,4;0,1;1;1
"641";1;0;0;1;1
"642";0,3;0,7;0;1;1
"643";0,7;0;0,2;1;1
"644";1;0;0;1;1
"645";0,3;0,3;0,3;0;1
"646";0,4;0,6;0;0;1
"647";0,6;0,2;0,1;1;1
"648";0,2;0,6;0,1;1;1
"649";0,6;0,3;0,1;1;1
"650";0,2;0,3;0,5;0;1
"651";0,4;0;0,5;0;1
"652";0;0,1;0,9;0;1
"653";0,1;0;0,3;0;1
"654";0;0,3;0,5;0;1
"655";0;0,8;0,2;1;1
"656";0,1;0,9;0;0;1
"657";0;0,9;0,1;1;1
"658";0;0,5;0,3;1;1
"659";0,3;0,4;0,2;1;1
"660";0,3;0;0,7;0;1
"661";0,3;0,3;0,3;1;1
"662";0;0,6;0;1;1
"663";0,3;0,7;0;0;1
"664";0,7;0,1;0,2;0;1
"665";0,6;0,2;0,2;0;1
"666";0,9;0,1;0;1;1
"667";0,2;0;0,8;1;1
"668";0,3;0;0,7;1;1
"669";0,5;0,3;0,1;1;1
"670";0,5;0,5;0;0;1
"671";0,5;0,5;0;0;1
"672";0;0,4;0,3;1;1
"673";0,1;0,7;0,1;0;1
"674";0,3;0,7;0;1;1
"675";0,3;0,7;0;0;1
"676";0,1;0,8;0;0;1
"677";0,3;0,1;0,5;1;1
"678";0,3;0,2;0,4;1;1
"679";0,4;0,4;0,2;1;1
"680";0,1;0,7;0,1;0;1
"681";0;1;0;0;1
"682";0,1;0,9;0;0;1
"683";0;1;0;0;1
"684";0;1;0;1;1
"685";0;0,1;0,9;0;1
"686";0,4;0;0,5;0;1
"687";0,2;0,6;0,1;1;1
"688";0,3;0,2;0,4;0;1
"689";0,2;0;0,2;0;1
"690";0,3;0,3;0,2;1;1
"691";0,3;0,2;0,5;0;1
"692";0,1;0,2;0,3;0;1
"693";0,1;0,2;0,4;0;1
"694";0;0,6;0,1;1;1
"695";0,5;0,3;0,2;1;1
"696";0,1;0,9;0;0;1
"697";0,1;0,6;0,3;0;1
"698";0;1;0;0;1
"699";0;1;0;0;1
"700";0,1;0,8;0;0;1
"701";0,1;0,9;0;0;1
"702";0,3;0,7;0;1;1
"703";0;0,9;0;1;1
"704";0,6;0,1;0,3;0;1
"705";0,3;0,3;0,2;0;1
"706";0,3;0,4;0,3;0;1
"707";0,2;0,5;0,3;0;1
"708";0,5;0,3;0,1;0;1
"709";0,3;0,4;0,3;0;1
"710";0,2;0,4;0,4;0;1
"711";0,2;0,5;0,3;0;1
"712";0,8;0,1;0,1;1;1
"713";0,7;0;0,2;1;1
"714";0,5;0,3;0,2;1;1
"715";0;0,1;0,8;1;1
"716";0,2;0,2;0,6;1;1
"717";0,2;0;0,7;1;1
"718";0,1;0;0,4;1;1
"719";0,2;0,6;0,1;1;1
"720";0,5;0,2;0,2;1;1
"721";0,4;0;0,2;1;1
"722";0,6;0,1;0;1;1
"723";0,5;0,3;0,1;0;1
"724";0,7;0;0,3;1;1
"725";0,1;0,3;0,1;1;1
"726";0,5;0,2;0,2;1;1
"727";0;1;0;0;1
"728";0;0,9;0;0;1
"729";0;1;0;0;1
"730";0,4;0,4;0,2;1;1
"731";0,1;0,3;0,4;0;1
"732";0,2;0,3;0,1;1;1
"733";0,5;0,5;0;1;1
"734";0,2;0,5;0;0;1
"735";0,2;0,7;0;1;1
"736";0,3;0,3;0,3;1;1
"737";0,8;0;0;1;1
"738";0,3;0,3;0,3;0;1
"739";0,6;0,2;0;1;1
"740";0,8;0,2;0;1;1
"741";0,8;0,2;0;1;1
"742";0,5;0,5;0;1;1
"743";0,4;0,4;0,1;1;1
"744";0,3;0,5;0,2;1;1
"745";0,6;0;0,4;0;1
"746";0,2;0,2;0,6;0;1
"747";0,2;0;0,7;0;1
"748";0,9;0,1;0;0;1
"749";0,6;0,3;0,1;1;1
"750";1;0;0;0;1
"751";0,4;0,1;0,2;0;1
"752";0,5;0,4;0,1;0;1
"753";0;0,6;0,2;0;1
"754";0,3;0,7;0;1;1
"755";0;1;0;1;1
"756";0,1;0,7;0,2;1;1
"757";0,2;0,5;0,2;1;1
"758";0;0,6;0,4;1;1
"759";0;0,1;0,9;0;1
"760";0,3;0,2;0,3;0;1
"761";0;0,2;0,7;0;1
"762";0,2;0,3;0,4;0;1
"763";0,1;0,3;0,3;1;1
"764";0;0,6;0,4;0;1
"765";0,4;0,1;0,4;0;1
"766";0,2;0,3;0,1;1;1
"767";0,3;0,4;0,2;0;1
"768";0,3;0,1;0,3;0;1
"769";0,8;0,1;0,1;1;1
"770";0,3;0,4;0;1;1
"771";0,1;0,6;0,1;1;1
"772";0,1;0,9;0;1;1
"773";0,3;0,4;0,2;1;1
"774";0,1;0,3;0,5;0;1
"775";0,1;0,5;0,3;0;1
"776";0,2;0,4;0,2;0;1
"777";0,2;0,4;0,3;0;1
"778";0,5;0,3;0;1;1
"779";0,4;0,4;0,2;1;1
"780";0,4;0,4;0,2;0;1
