"";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"360";3;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;1;0;2;0;6;4;1;44;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"361";2;2;2;3;3;2;2;2;1;1;1;2;3;0;0;0;1;1;2;0;6;3;0;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"362";2;2;2;2;2;2;2;2;2;2;2;2;4;0;0;0;1;1;2;1;3;6;0;21;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"363";2;2;2;1;1;3;3;2;3;1;3;2;3;0;0;0;1;1;2;0;3;4;1;26;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"364";3;2;2;3;3;1;1;1;1;1;1;1;1;1;0;0;1;0;2;1;4;5;0;34;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"365";3;2;2;2;2;1;1;1;1;1;1;1;3;0;0;0;1;1;2;0;3;4;1;58;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"366";2;3;3;2;2;3;3;2;3;2;1;2;2;0;1;0;1;0;2;1;3;3;1;38;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"367";3;3;3;3;3;2;2;3;3;2;3;3;2;0;1;0;1;1;2;0;3;5;1;61;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"368";1;3;3;3;3;2;2;3;3;3;3;3;3;1;0;0;1;1;0;0;4;5;0;66;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"369";2;3;3;3;3;1;1;3;1;1;3;2;1;0;0;0;1;1;2;0;6;5;1;46;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"370";3;4;4;3;3;3;3;2;2;2;2;2;2;0;1;0;1;0;2;1;4;5;0;31;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"371";3;5;4;3;3;2;2;2;3;2;3;2;2;0;1;1;1;1;2;0;3;4;0;38;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"372";3;5;4;5;4;2;2;2;3;2;1;2;4;0;0;0;1;0;2;0;1;4;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"373";2;1;1;2;2;4;4;2;2;1;2;4;1;0;1;1;1;1;2;1;5;5;0;27;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"374";2;2;2;3;3;1;1;2;1;1;1;1;1;0;0;1;1;0;2;0;6;3;1;31;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"375";2;2;2;1;1;1;1;2;1;1;3;1;1;1;0;1;1;1;2;1;6;NA;1;33;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"376";2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;1;2;1;6;3;1;29;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"377";3;3;3;3;3;1;1;2;1;1;1;1;1;0;0;1;1;1;2;1;4;NA;0;35;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"378";3;3;3;3;3;1;1;2;3;1;1;1;1;0;1;1;1;1;1;0;6;3;0;28;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"379";3;3;3;3;3;1;1;2;1;1;1;1;1;1;0;1;1;1;2;1;6;5;1;53;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"380";2;3;3;3;3;1;1;2;1;1;3;1;1;1;0;1;1;0;0;0;6;5;1;58;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"381";1;1;1;4;4;4;4;1;4;1;1;1;1;0;0;0;1;0;1;0;4;3;1;24;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"382";2;2;2;3;3;1;1;2;1;1;4;1;1;0;0;1;1;1;2;0;6;NA;1;43;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"383";3;1;1;1;1;2;2;1;2;1;2;2;1;0;0;0;1;1;0;0;4;5;1;25;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"384";1;2;2;3;3;4;4;4;1;1;3;2;4;0;0;0;1;1;1;0;6;2;1;62;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"385";1;1;1;1;1;2;2;1;1;1;1;1;1;0;1;1;1;1;2;1;4;4;1;48;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"386";1;1;1;1;1;1;1;1;1;1;2;2;1;0;0;0;1;1;2;1;4;4;1;35;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"387";3;1;1;1;1;1;1;1;1;1;1;3;1;0;0;0;1;0;1;0;6;3;1;31;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"388";1;1;1;3;3;2;2;4;2;1;1;1;3;0;0;0;1;NA;2;0;4;4;0;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"389";1;1;1;4;4;1;1;1;4;4;1;4;3;0;0;0;1;1;1;1;6;2;1;24;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"390";1;1;1;1;1;1;1;1;1;1;1;4;1;0;0;0;1;0;1;1;6;4;1;31;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"391";3;1;1;3;3;1;1;2;3;1;3;2;2;0;0;0;1;NA;2;0;4;3;0;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"392";2;2;2;2;2;2;2;2;1;1;1;1;2;0;1;0;1;1;2;0;3;5;1;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"393";3;2;2;3;3;2;2;2;2;1;1;2;2;0;0;0;1;1;2;0;3;2;0;56;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"394";2;2;2;2;2;2;2;2;2;1;2;2;2;0;0;0;1;1;2;1;5;5;1;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"395";2;2;2;3;3;2;2;2;2;1;2;2;2;0;0;0;1;1;2;0;4;5;1;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"396";2;2;2;1;1;2;2;2;2;1;1;2;3;0;0;0;1;0;2;0;2;5;1;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"397";2;2;2;2;2;2;2;2;2;1;2;2;2;0;0;0;1;0;0;0;4;2;1;24;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"398";2;2;2;2;2;2;2;2;2;1;1;2;2;0;0;0;1;NA;NA;0;3;2;1;26;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"399";1;2;2;2;2;1;1;2;2;1;3;3;3;0;0;0;1;1;2;0;4;4;0;24;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"400";2;2;2;3;3;2;2;2;2;1;2;2;2;0;0;0;1;1;2;1;4;4;1;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"401";2;2;2;2;2;2;2;2;3;1;3;2;2;0;1;1;1;1;1;1;3;4;1;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"402";2;2;2;1;1;1;1;1;2;1;1;2;1;0;1;0;1;0;2;0;3;3;1;46;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"403";1;2;2;2;2;2;2;2;2;1;1;2;2;0;1;0;1;1;2;1;2;3;1;36;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"404";2;2;2;3;3;2;2;2;1;1;2;2;4;0;0;0;1;1;2;0;4;5;1;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"405";2;2;2;2;2;2;2;2;2;1;2;2;2;0;0;0;1;1;1;1;3;3;1;48;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"406";2;2;2;2;2;2;2;2;1;1;1;2;2;0;0;0;1;0;1;1;6;5;1;42;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"407";3;3;3;3;3;4;4;2;3;1;2;2;4;0;0;0;1;0;2;0;4;3;0;54;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"408";2;3;3;1;1;2;2;2;2;1;2;1;2;0;0;0;1;0;1;1;5;4;0;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"409";3;3;3;3;3;2;2;2;2;1;2;2;2;1;0;0;1;1;1;0;6;3;1;34;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"410";2;4;4;3;3;2;2;4;2;1;3;2;3;0;1;1;1;1;2;1;3;1;1;63;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"411";3;4;4;3;3;3;3;3;3;3;3;2;4;1;0;1;1;0;2;0;6;3;0;50;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"412";4;4;4;4;4;3;3;2;3;1;1;4;1;0;1;0;1;1;2;0;6;5;0;28;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"413";2;4;4;1;1;1;1;2;4;1;4;3;3;0;0;0;1;1;2;0;6;4;1;32;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"414";3;5;4;2;2;2;2;2;2;1;2;2;2;0;0;0;1;1;2;1;3;2;1;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"415";3;5;4;2;2;2;2;2;2;1;2;2;3;0;0;0;1;NA;1;0;4;2;1;30;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"416";3;3;3;3;3;4;4;2;1;1;1;3;4;1;1;1;1;1;1;1;3;6;0;73;0;0;0;0;5,30826769740121;2,70805020110221;9,79890451234369;"urus-martan";"Goity"
"417";4;2;2;3;3;4;5;2;2;2;2;2;2;0;0;1;1;0;2;0;3;5;1;44;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"418";3;3;3;3;3;4;4;4;2;1;1;4;3;0;0;1;1;1;NA;0;6;5;0;33;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"419";1;4;4;3;3;4;4;4;2;1;3;2;3;0;0;0;1;1;NA;1;6;4;1;40;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"420";2;1;1;4;4;2;2;4;3;1;4;1;2;0;0;0;1;0;NA;0;6;4;0;58;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"421";2;3;3;3;3;2;2;1;4;1;3;3;3;0;0;0;1;1;NA;0;4;4;1;43;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"422";4;2;2;2;2;1;1;2;2;1;1;2;2;0;0;0;1;1;NA;1;4;4;1;63;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"423";2;4;4;2;2;2;2;2;2;1;2;4;1;0;0;0;1;1;2;1;4;5;1;25;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"424";4;4;4;4;4;4;4;4;4;3;1;4;4;0;0;0;1;1;NA;1;6;5;0;28;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"425";2;1;1;4;4;2;2;1;1;1;1;1;1;0;0;0;1;1;1;1;6;5;1;24;0;0;1;2;5,63478960316925;3,2188758248682;9,38320064498062;"groznenskiy";"Starye_Atagi"
"426";2;2;2;2;2;2;2;4;2;1;2;2;2;0;0;0;1;1;NA;1;6;4;0;30;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"427";2;2;2;2;2;2;2;2;2;1;1;1;2;0;0;0;1;1;NA;1;6;2;1;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"428";3;5;4;2;2;3;3;2;2;2;2;2;2;0;0;0;1;1;NA;0;3;4;0;24;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"429";2;3;3;3;3;3;3;3;4;1;1;1;1;0;1;1;1;1;2;0;6;5;1;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"430";2;4;4;3;3;1;1;3;1;1;3;2;1;0;0;0;1;1;2;0;5;5;1;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"431";2;4;4;2;2;4;4;2;2;1;2;1;4;1;0;0;1;1;2;0;6;3;0;28;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"432";2;4;4;5;4;1;1;1;2;2;3;2;2;1;1;1;1;1;1;0;6;5;1;30;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"433";2;4;4;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;0;6;4;0;26;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"434";2;4;4;2;2;4;4;4;3;3;1;3;1;0;0;0;1;1;1;0;6;4;1;53;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"435";2;4;4;1;1;4;4;2;2;1;1;1;2;1;1;1;1;1;NA;0;6;5;0;34;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"436";1;1;1;2;2;2;2;2;2;3;2;1;2;0;1;1;1;0;1;0;NA;4;1;35;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"437";3;2;2;2;2;3;3;2;3;3;2;2;2;0;0;1;1;1;2;1;NA;5;1;33;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"438";3;2;2;2;2;3;3;2;2;3;1;2;2;0;0;0;1;1;1;0;NA;5;1;32;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"439";3;2;2;3;3;2;2;2;3;2;2;3;2;0;0;0;1;0;2;0;NA;4;0;25;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"440";3;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;0;1;1;NA;5;1;24;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"441";3;3;3;3;3;2;2;2;2;2;1;3;2;0;0;0;1;1;2;0;NA;5;0;29;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"442";1;3;3;3;3;3;3;2;3;2;2;3;2;0;0;0;1;1;2;1;NA;3;0;33;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"443";2;4;4;2;2;2;2;2;2;1;2;2;2;0;0;0;1;1;2;0;NA;5;1;23;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"444";2;5;4;2;2;2;2;2;2;3;3;2;2;0;0;0;1;1;1;1;NA;3;1;26;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"445";1;1;1;4;4;1;1;3;1;1;1;1;1;0;0;0;1;1;2;0;NA;3;1;45;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"446";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;2;1;NA;3;1;39;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"447";3;1;1;1;1;1;1;1;1;1;1;2;1;0;0;0;1;1;2;1;6;5;0;52;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"448";3;2;2;2;2;3;3;2;2;1;1;2;1;0;0;1;1;1;2;1;NA;3;1;41;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"449";2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;0;1;0;NA;4;0;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"450";1;2;2;2;2;2;2;3;3;1;1;1;1;0;0;0;1;0;0;0;NA;3;1;31;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"451";3;2;2;3;3;2;2;3;2;3;1;2;1;0;0;0;1;1;2;1;4;3;1;63;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"452";3;2;2;3;3;2;2;2;3;1;3;2;1;0;0;0;1;1;2;0;3;5;1;33;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"453";2;2;2;3;3;1;1;2;2;3;1;1;1;1;1;1;1;1;2;1;NA;5;1;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"454";1;2;2;3;3;2;2;2;3;3;3;3;2;0;1;1;1;1;1;0;NA;5;1;30;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"455";3;2;2;3;3;1;1;1;2;1;1;1;1;0;1;1;1;1;2;0;6;5;1;40;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"456";3;3;3;3;3;2;2;3;3;2;3;3;3;0;0;0;1;NA;2;1;NA;5;0;26;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"457";2;3;3;2;2;2;2;4;3;2;1;1;1;0;0;0;1;1;2;0;NA;3;0;49;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"458";3;4;4;3;3;2;2;3;3;2;1;2;2;0;0;0;1;1;2;0;NA;3;0;19;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"459";1;5;4;3;3;4;4;1;3;3;3;1;1;1;1;0;1;1;1;0;5;3;1;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"460";3;1;1;1;1;1;1;3;1;1;3;3;1;0;0;0;1;0;1;0;NA;1;0;55;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"461";3;2;2;1;1;1;1;3;1;1;2;1;1;0;0;0;1;1;1;0;NA;3;1;51;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"462";2;2;2;2;2;1;1;3;1;2;1;1;2;0;0;0;1;1;2;0;NA;3;0;21;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"463";3;3;3;3;3;3;3;2;3;3;1;3;3;1;1;0;1;1;2;0;NA;NA;0;50;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"464";2;4;4;2;2;2;2;2;1;1;1;1;1;0;0;0;1;1;2;0;NA;1;1;24;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"465";2;4;4;1;1;3;3;2;3;1;1;3;3;0;0;0;1;1;1;0;NA;3;0;62;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"466";2;5;4;2;2;2;2;4;1;1;1;1;4;0;0;0;1;1;2;0;NA;5;1;18;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"467";1;4;4;3;3;2;2;3;3;4;3;3;1;0;0;0;1;1;2;1;1;3;0;34;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"468";2;5;4;4;4;4;4;4;4;4;4;4;4;0;0;0;1;1;2;1;5;4;0;32;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"469";3;1;1;3;3;1;1;3;1;1;3;1;2;0;0;0;1;1;2;0;0;4;1;19;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"470";1;1;1;2;2;1;1;2;1;1;3;4;1;0;0;0;1;1;2;0;1;5;1;30;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"471";4;2;2;5;4;2;2;4;2;1;4;1;3;0;0;0;1;1;2;0;0;4;0;36;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"472";2;2;2;2;2;1;1;2;2;1;2;2;1;0;0;0;1;1;2;0;0;5;1;46;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"473";2;3;3;3;3;2;2;2;1;1;1;1;2;0;0;0;1;1;2;0;0;5;0;37;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"474";3;3;3;2;2;3;3;3;2;1;4;2;2;0;0;0;1;1;1;0;0;5;1;24;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"475";3;2;2;2;2;2;2;2;1;4;3;2;1;1;1;1;1;1;1;1;0;5;0;23;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"476";2;1;1;3;3;2;2;2;3;1;2;2;3;0;0;0;1;1;2;1;5;4;0;23;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"477";3;3;3;3;3;2;2;2;3;1;3;1;2;0;0;0;1;1;1;1;6;4;0;53;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"478";3;3;3;3;3;2;2;2;1;3;3;3;3;0;1;0;1;0;0;NA;5;2;1;41;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"479";1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;1;1;2;1;3;NA;1;25;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"480";3;2;2;2;2;2;2;3;1;2;2;4;3;0;0;0;1;1;1;0;6;6;1;28;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"481";2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;1;2;1;5;2;0;26;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"482";2;3;3;3;3;3;3;1;3;1;3;3;3;0;0;0;1;1;2;0;6;5;1;51;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"483";4;3;3;2;2;2;2;4;2;2;2;1;2;0;0;1;1;0;2;0;6;1;1;33;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"484";3;4;4;1;1;2;2;2;2;2;2;2;2;0;0;0;1;1;2;0;3;NA;0;19;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan"
"485";2;2;2;1;1;2;2;1;2;2;2;2;3;0;0;0;1;0;0;0;6;3;1;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"486";3;1;1;1;1;2;2;3;2;1;2;2;1;0;0;0;1;0;1;1;4;NA;1;33;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"487";2;2;2;4;4;1;1;3;1;1;4;2;1;0;0;0;1;1;2;0;1;NA;0;42;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"488";2;2;2;3;3;2;2;2;2;3;3;3;2;0;0;0;1;1;2;1;2;2;1;50;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"489";2;2;2;3;3;1;1;1;1;1;3;3;1;0;0;0;1;1;2;0;6;5;0;28;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"490";3;3;3;2;2;1;1;1;2;3;2;1;1;0;1;0;1;1;2;0;4;2;1;57;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"491";2;3;3;4;4;3;3;3;3;1;3;2;1;0;0;1;1;1;1;0;2;3;0;27;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"492";3;3;3;1;1;3;3;3;3;1;1;3;1;0;0;0;1;1;1;0;3;6;1;27;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"493";3;4;4;3;3;1;1;3;3;1;1;2;3;0;0;0;1;1;0;0;6;4;0;36;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"494";2;5;4;3;3;1;1;4;3;1;1;3;1;0;0;0;1;NA;0;0;6;2;1;32;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"495";3;5;4;3;3;4;4;2;3;1;1;1;3;0;0;0;1;0;1;1;4;3;0;58;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"496";2;2;2;3;3;2;2;3;2;1;1;4;4;0;0;0;1;1;1;0;6;4;1;35;0;0;0;3;5,50125821054473;3,17805383034795;8,39321601159653;"groznenskiy";"Druzhnoye"
"497";2;3;3;2;2;1;1;2;2;1;1;2;1;0;0;0;1;1;1;0;1;6;0;34;0;0;0;3;5,50125821054473;3,17805383034795;8,39321601159653;"groznenskiy";"Druzhnoye"
"498";2;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;0;6;4;1;22;0;0;0;3;5,50125821054473;3,17805383034795;8,39321601159653;"groznenskiy";"Druzhnoye"
"499";2;5;4;3;3;4;5;2;2;1;1;2;1;0;0;0;1;1;2;1;4;3;1;52;0;0;0;3;5,50125821054473;3,17805383034795;8,39321601159653;"groznenskiy";"Druzhnoye"
"500";2;5;4;3;3;4;4;3;3;1;1;1;1;0;0;0;1;0;2;1;4;3;1;54;0;0;0;3;5,50125821054473;3,17805383034795;8,39321601159653;"groznenskiy";"Druzhnoye"
"501";3;3;3;3;3;2;2;2;2;1;1;1;3;0;0;0;1;1;1;1;4;3;0;29;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
"502";2;3;3;2;2;2;2;3;2;1;3;2;1;0;0;0;1;1;0;0;2;3;1;56;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye"
