"";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"256";3;3;3;2;2;3;3;2;3;2;2;2;2;1;1;0;1;0;1;0;4;2;0;52;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"257";2;5;4;3;3;1;1;2;1;3;4;3;1;0;0;1;1;1;2;0;3;2;0;22;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"258";1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;0;1;1;2;0;6;4;1;24;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"259";3;1;1;1;1;3;3;4;2;1;1;3;1;0;0;0;1;1;0;0;4;3;1;33;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"260";1;1;1;1;1;2;2;NA;2;1;1;3;1;1;1;0;1;1;2;1;6;3;1;37;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"261";4;2;2;3;3;1;1;2;1;1;1;1;1;0;0;0;1;1;0;0;6;3;1;30;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"262";2;2;2;2;2;3;3;4;2;2;2;2;2;0;0;0;1;1;0;1;5;3;1;35;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"263";2;2;2;3;3;3;3;3;3;1;3;2;2;1;0;0;1;NA;2;0;3;NA;0;28;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"264";2;1;1;1;1;2;2;4;1;1;4;4;1;0;0;0;1;1;2;0;4;4;1;20;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"265";2;1;1;3;3;4;4;4;3;1;1;4;3;0;0;1;1;1;2;1;3;4;0;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"266";1;1;1;2;2;1;1;2;1;1;1;1;1;0;0;0;1;0;1;0;6;4;1;34;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"267";2;1;1;1;1;1;1;4;1;1;4;4;1;0;0;0;1;1;1;0;4;5;1;20;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"268";2;1;1;3;3;2;2;2;2;1;3;1;3;0;0;0;1;1;0;0;6;NA;0;30;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"269";3;2;2;2;2;1;1;2;2;1;1;4;2;0;0;0;1;1;2;0;6;3;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"270";4;2;2;2;2;2;2;2;1;1;1;1;1;1;0;0;1;1;2;1;6;3;1;38;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"271";2;2;2;2;2;4;4;4;2;1;4;2;2;0;0;0;1;0;2;0;3;NA;1;41;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
