"";"X";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location";"V1RL";"V2RL";"V3RL";"V4RL";"V5RL";"V6RL";"V7RL";"V8RL";"V9RL";"V10RL";"V1S";"V2S";"V3S";"V4S";"V5S";"V6S";"V7S";"V8S";"V9S";"V10S";"V1A";"V2A";"V3A";"V4A";"V5A";"V6A";"V7A";"V8A";"V9A";"V10A";"indexRL";"indexS";"indexA";"age_cohorts";"edufull";"incomefull"
"1016";1016;4;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;NA;NA;1;0;6;4;1;20;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya";0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0;"youth";6;4
"1017";1017;1;1;1;1;1;1;1;3;1;1;3;2;1;0;0;0;NA;0;1;0;6;NA;0;28;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0,7;0,1;0,2;"youth";6;3,6752468771862
"1018";1018;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;NA;1;2;1;6;5;0;39;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;"midage";6;5
"1019";1019;4;3;3;2;2;1;1;4;4;1;2;4;4;0;1;1;NA;NA;2;1;5;5;1;NA;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0,2;0,2;0,1;NA;5;5
"1020";1020;2;5;4;1;1;1;1;2;1;1;4;1;1;0;0;0;NA;0;1;0;4;6;1;22;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0,2;0;"youth";4;6
"1021";1021;2;3;3;1;1;4;4;2;3;1;1;1;3;0;0;0;NA;NA;0;0;NA;4;0;55;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala";0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0,4;0,2;0,3;"older";4,4541954569798;4
"1022";1022;3;5;4;5;4;2;2;2;2;2;1;2;2;0;0;0;NA;1;1;0;6;4;0;28;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu";0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0,1;0,6;0,1;"youth";6;4
"1023";1023;2;1;1;3;3;2;2;1;1;1;1;3;1;1;1;1;NA;NA;1;1;3;1;1;24;0;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya";0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0,6;0,2;0,2;"youth";3;1
"1024";1024;3;1;1;2;2;1;1;1;2;1;1;1;2;0;0;0;NA;1;2;0;6;4;0;25;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun";0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0,6;0,3;0,1;"youth";6;4
"1025";1025;2;5;4;3;3;2;2;2;1;1;3;2;2;0;0;0;NA;1;2;1;5;3;0;20;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun";0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0,2;0,5;0,2;"youth";5;3
