"";"indexRL";"indexS";"indexA";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"female";"age_cohorts";"incomefull";"edufull";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"799";0,4;0,3;0,3;0;0;0;0;0;2;0;0;"midage";5;6;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"800";0,1;0,2;0,7;0;0;0;0;0;1;0;0;"midage";4;6;1;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"801";0,4;0,2;0,3;0;0;0;0;0;2;0;0;"youth";5;6;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"802";0,1;0,2;0,5;0;0;0;0;0;1;0;0;"youth";4;6;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"803";0,5;0,2;0,2;0;1;1;0;0;1;0;1;"midage";4;5;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"804";0,3;0,4;0;0;0;1;0;1;2;0;0;"midage";5;5;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"805";0,1;0,7;0,1;0;1;1;0;0;0;0;1;"youth";2;6;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"806";0,1;0,2;0,4;0;0;0;0;0;1;0;1;"youth";3;5;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"807";0,3;0,1;0,4;0;0;0;0;0;2;0;1;"youth";1;5;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"808";0,1;0,9;0;0;0;0;0;0;2;1;1;"youth";5;4,26409658973586;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"809";0,2;0,3;0,3;0;0;0;0;1;1;0;0;"midage";4;6,57949287991865;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"810";0,5;0,1;0,2;0;0;0;0;0;2;0;1;"youth";1;3,49823715852696;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"811";0,2;0,2;0,3;0;0;0;0;0;1;0;0;"youth";5;5,01110535307516;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"812";0,5;0,1;0,2;0;1;1;0;1;2;0;0;"youth";1;1,25584365609365;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"813";0,4;0,4;0;0;0;0;0;0;0;0;0;"youth";3;4,58058414973775;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"814";0;0,9;0;0;0;0;0;0;2;1;0;"youth";1;5,55401842006543;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"815";0;0,6;0,2;0;0;1;0;0;2;0;0;"youth";4;2,76343230434145;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"816";0,8;0;0;0;0;1;0;0;2;1;1;"midage";3;5;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"817";0,4;0,5;0,1;0;1;0;0;0;0;1;1;"midage";4;4;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"818";0,8;0,2;0;0;0;0;0;1;2;0;1;"youth";4;4;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"819";0,6;0,3;0,1;0;0;0;0;1;1;0;0;"youth";5;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"820";1;0;0;0;0;0;0;0;2;0;1;"midage";3;5;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"821";0,9;0;0;0;0;0;0;0;2;0;0;"youth";4;6;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"822";0,7;0,3;0;0;1;0;0;0;1;0;0;"youth";3;4;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"823";0,8;0,1;0,1;1;0;0;0;0;0;0;0;"youth";5;4;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"824";0,2;0,5;0,2;0;0;0;0;1;1;1;1;"midage";4;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"825";0;0,8;0,2;0;0;0;0;0;2;0;0;"youth";5;4;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"826";0;0,3;0,4;0;1;0;0;0;2;0;0;"youth";3;5;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"827";0,1;0,5;0,3;0;0;0;0;1;2;1;0;"youth";6;4;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"828";0,4;0,2;0,4;0;0;0;0;0;2;NA;0;"youth";2,46219499431084;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"829";0;0,5;0,5;1;0;0;0;0;0;0;1;"youth";4;5;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"830";0;0;1;1;0;0;0;0;0;0;1;"midage";1;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"831";0,3;0,3;0,1;0;1;0;0;0;2;0;0;"youth";4;5;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"832";0,2;0,4;0,1;0;1;0;0;0;1;0;1;"youth";4;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"833";0,8;0,1;0;0;1;0;0;NA;2;0;1;"older";2;6;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"834";0,4;0,2;0,2;0;1;0;0;1;2;0;0;"youth";2;2;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"835";0;0,3;0,6;0;0;0;0;0;2;0;0;"youth";1;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"836";0,4;0,2;0,3;1;0;0;0;0;0;0;1;"youth";3;3;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"837";0,7;0,1;0;0;0;0;0;1;2;0;0;"older";5;5,44880486571119;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"838";0,1;0,9;0;0;0;0;0;0;2;0;0;"youth";2;3,9195392484479;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"839";0,4;0,5;0,1;0;0;0;0;1;0;0;1;"youth";2;5,53342714917194;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"840";0;1;0;0;1;1;0;0;2;1;1;"midage";4;3,56927009897885;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"841";0,1;0,2;0,1;0;0;0;0;0;0;0;1;"youth";6;6,46375324188268;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"842";0,4;0;0,4;1;1;1;0;1;2;0;1;"older";4;2,67001755278855;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"843";0,8;0;0;0;0;0;0;0;1;0;0;"older";5;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"844";0,3;0,4;0,3;0;0;0;0;1;2;0;1;"older";6;2;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"845";0,5;0,3;0,2;1;0;0;0;0;2;0;0;"midage";4;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"846";0,5;0,3;0,1;0;0;0;0;0;1;NA;1;"youth";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"847";0,1;0,6;0,2;0;1;0;0;1;1;1;0;"youth";2;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"848";0,4;0,3;0,3;0;0;0;0;0;0;0;1;"youth";5;5;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"849";0,4;0,3;0,3;0;1;1;0;0;1;0;0;"midage";1,96331805350969;6;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"850";0,5;0,1;0,4;1;0;1;0;1;2;1;0;"midage";2,74110291491695;6;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"851";0,5;0,1;0,3;1;0;1;0;0;1;1;0;"midage";4;6;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya"
"852";0,8;0,1;0;0;0;0;0;0;1;0;0;"older";4;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"853";0,4;0,1;0,5;0;1;1;0;0;2;0;0;"older";3;6;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"854";0,1;0,1;0,8;0;1;1;0;1;1;0;0;"older";3;6;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"855";0,1;0,2;0,7;0;0;0;0;0;1;0;0;"youth";4;6;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"856";0,1;0,7;0,1;0;0;0;0;1;2;0;1;"youth";3;6;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"857";0,6;0;0,2;0;0;0;0;0;2;0;1;"midage";3;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"858";0,7;0,2;0;0;0;0;0;0;1;0;0;"midage";4;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"859";0,4;0,1;0,3;0;0;0;0;0;0;0;1;"youth";6;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"860";0,3;0,7;0;0;0;0;0;NA;1;1;1;"midage";3;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"861";0,6;0,2;0;0;0;0;0;0;2;1;0;"older";5;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"862";0,8;0,1;0,1;0;1;1;0;0;2;0;0;"midage";4;5;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"863";0,4;0;0,6;0;0;1;0;NA;2;1;1;"youth";3;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"864";0,3;0,7;0;0;1;0;0;0;2;0;0;"midage";4;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"865";0,2;0,4;0,3;0;0;0;0;0;1;0;0;"youth";5;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"866";0,1;0,6;0,1;0;0;0;0;1;2;1;0;"youth";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"867";0;1;0;0;0;0;0;1;2;0;0;"midage";4;2;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"868";0,4;0,5;0,1;0;0;0;0;0;1;0;1;"midage";4;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"869";0,2;0,3;0,3;0;0;0;0;0;0;0;1;"youth";5;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"870";0,2;0,8;0;0;0;0;0;0;0;0;0;"midage";3;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"871";0,3;0,3;0,4;0;0;0;0;NA;2;0;1;"youth";3;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"872";0,3;0,6;0,1;0;0;1;0;1;2;0;0;"youth";3;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"873";0,3;0,3;0,3;0;0;0;0;0;2;1;1;"older";5;2;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"874";0,1;0,2;0,4;0;0;0;0;0;2;0;1;"midage";3;5;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"875";0,6;0,2;0,1;0;0;0;0;0;0;0;1;"midage";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"876";0,3;0,5;0,1;0;0;0;0;1;2;1;1;"midage";3;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"877";0,2;0,3;0,4;0;0;0;0;0;2;0;1;"midage";6;4;0;0;0;0;5,48063892334199;3,85014760171006;7,85631957140659;"urus-martan";"Jandi"
"878";0,6;0,1;0,3;0;0;0;0;0;2;0;1;"older";4;3;0;0;1;0;6,42648845745769;4,02535169073515;7,83320394864106;"shatoi";"Shatoi"
"879";0,6;0,2;0,2;0;0;0;0;0;0;0;1;"youth";3;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"880";0,2;0,8;0;0;0;0;0;1;0;1;1;"youth";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"881";0;1;0;0;0;0;0;0;NA;0;0;"youth";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"882";0,3;0,3;0,2;0;1;0;0;1;2;0;1;"midage";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"883";0,3;0,7;0;0;0;0;0;0;NA;0;0;"midage";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"884";0,1;0,3;0,6;0;0;0;0;1;2;1;1;"midage";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"885";0,3;0,1;0,4;0;0;0;0;1;2;0;1;"youth";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"886";0,4;0,5;0;0;0;0;0;0;2;1;0;"youth";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"887";0,4;0,1;0,1;0;0;0;0;0;NA;0;1;"older";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"888";0,3;0,2;0,2;0;0;0;0;0;0;0;1;"midage";5;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"889";0,3;0,4;0,2;0;0;0;0;0;2;0;0;"midage";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"890";0,8;0,1;0;0;0;1;0;0;0;0;0;"older";5;6;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"891";0,6;0,2;0,2;0;0;0;0;1;NA;1;1;"youth";5;3;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"892";0,8;0;0;0;0;0;0;1;NA;1;1;"older";4;4;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"893";0,6;0,2;0,1;0;0;0;0;0;NA;0;1;"youth";4;5;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"894";0,8;0,2;0;0;0;0;0;0;NA;0;1;"older";5;6;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"895";0;0,9;0,1;1;1;1;0;0;NA;1;0;"youth";4;6;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"896";0,4;0,4;0;0;0;0;0;1;NA;0;0;"older";4;3;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"897";0,2;0,5;0,2;0;0;0;0;0;NA;0;1;"midage";5;4;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"898";0;1;0;0;0;0;0;0;NA;1;0;"midage";6;6;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"899";0,3;0,3;0,1;0;1;1;0;0;NA;0;0;"older";6;6;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"900";0,3;0;0,3;0;0;0;0;1;NA;0;1;"midage";5;3;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"901";0,7;0,2;0,1;0;0;0;0;1;NA;0;1;"midage";4;5;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
