"";"X";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location";"V1RL";"V2RL";"V3RL";"V4RL";"V5RL";"V6RL";"V7RL";"V8RL";"V9RL";"V10RL";"V1S";"V2S";"V3S";"V4S";"V5S";"V6S";"V7S";"V8S";"V9S";"V10S";"V1A";"V2A";"V3A";"V4A";"V5A";"V6A";"V7A";"V8A";"V9A";"V10A";"indexRL";"indexS";"indexA";"age_cohorts";"edufull";"incomefull"
"615";615;2;3;3;1;1;4;4;1;1;1;1;4;1;0;0;0;0;0;1;0;6;3;1;28;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0,6;0,1;0,1;"youth";6;3
"616";616;2;4;4;1;1;2;2;3;1;1;3;3;1;0;0;0;0;1;0;1;5;1;1;21;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0,4;0,2;0,3;"youth";5;1
"617";617;4;4;4;1;1;3;3;4;2;1;1;2;4;0;1;0;0;1;2;0;1;2;1;57;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0,3;0,2;0,1;"older";1;2
"618";618;3;4;4;4;4;2;2;2;1;1;1;2;1;0;1;1;0;0;0;0;3;4;0;22;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0,4;0,3;0,1;"youth";3;4
"619";619;2;4;4;1;1;4;5;2;4;1;4;2;2;0;0;0;0;NA;NA;0;5;2;1;19;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0,2;0,4;0;"youth";5;2
"620";620;2;4;4;1;1;4;4;4;3;1;1;4;1;0;0;0;0;0;1;0;NA;2;0;25;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,4;0,1;0,1;"youth";7,08790508753468;2
"621";621;2;5;4;5;4;2;2;3;1;2;2;4;1;0;0;0;0;0;0;0;3;4;0;29;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0,2;0,4;0,1;"youth";3;4
"622";622;3;5;4;2;2;1;1;2;1;2;1;1;4;0;0;1;0;0;0;0;6;5;1;29;0;0;0;19;2,70805020110221;4,26267987704132;9,43380387210131;"nadterechnyi";"Shelkovskaya";0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0,4;0,3;0,1;"youth";6;5
"623";623;2;1;1;4;4;4;5;2;2;2;3;2;4;0;0;0;0;0;0;0;4;2;1;53;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0,1;0,5;0,1;"older";4;2
"624";624;2;2;2;2;2;2;2;2;1;1;2;2;2;0;0;0;0;1;2;0;3;2;0;62;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0,2;0,8;0;"older";3;2
"625";625;3;2;2;4;4;3;3;1;1;3;1;NA;3;0;1;1;0;0;2;1;6;2;0;25;1;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0,3;0,1;0,4;"youth";6;2
"626";626;2;2;2;2;2;2;2;2;2;1;2;1;1;0;0;0;0;0;2;0;6;5;0;28;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,7;0;"youth";6;5
"627";627;2;2;2;2;2;2;2;4;2;1;2;2;3;0;0;0;0;0;2;1;4;1;0;48;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0,1;0,7;0,1;"midage";4;1
"628";628;2;2;2;3;3;1;1;1;1;1;3;3;1;0;0;0;0;0;1;0;6;2;1;60;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0,5;0,2;0,3;"older";6;2
